THUMB,INDEX,MIDDLE,RING,LITTLE,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,RESULT
163,245,2,2,19,3.25,7.54,-4.51,0.02,-0.07,0.05,D
163,246,3,2,19,3.08,7.52,-4.71,-0.01,-0.05,-0.00,D
164,246,4,2,20,3.14,7.49,-4.69,-0.05,-0.04,-0.00,D
164,246,3,2,19,3.12,7.53,-4.71,-0.05,-0.04,-0.01,D
164,246,1,4,19,3.16,7.58,-4.60,-0.02,-0.01,-0.00,D
163,246,2,4,19,3.15,7.47,-4.72,-0.03,0.06,-0.02,D
163,246,2,3,20,3.33,7.38,-5.01,0.02,0.05,-0.01,D
162,247,2,4,19,3.34,7.33,-4.92,0.02,0.11,-0.03,D
161,246,2,4,19,3.82,7.24,-4.89,-0.02,-0.11,0.04,D
162,246,2,2,19,3.44,7.18,-4.86,-0.05,-0.14,0.01,D
161,245,3,2,19,3.56,7.26,-4.87,-0.07,-0.03,-0.03,D
154,246,4,3,20,3.46,7.26,-4.94,-0.19,-0.26,0.00,D
155,246,4,2,19,3.47,7.32,-4.80,-0.02,-0.08,0.04,D
152,246,3,2,18,3.35,7.38,-4.75,-0.02,-0.04,0.02,D
153,245,3,4,19,3.30,7.35,-4.85,0.01,-0.00,0.01,D
153,246,2,2,19,3.47,7.46,-4.71,-0.03,0.09,-0.00,D
153,246,3,2,19,3.28,7.41,-4.73,-0.01,-0.04,0.02,D
154,247,3,3,18,3.32,7.41,-4.68,-0.03,-0.03,0.00,D
152,245,2,3,18,3.30,7.43,-4.72,-0.03,0.01,0.00,D
155,246,3,2,19,3.49,7.41,-4.75,-0.03,-0.01,-0.00,D
154,246,2,3,20,3.36,7.49,-4.66,-0.04,-0.01,-0.01,D
155,245,2,4,19,3.38,7.52,-4.68,-0.09,0.01,0.01,D
158,244,3,2,19,3.37,7.48,-4.66,-0.05,-0.02,-0.01,D
175,245,4,2,21,3.56,7.57,-4.50,-0.06,-0.06,-0.01,D
189,246,3,1,19,3.23,7.57,-4.54,-0.02,-0.03,0.01,D
189,244,2,2,18,3.24,7.52,-4.53,0.01,-0.02,0.03,D
189,244,2,2,18,3.27,7.65,-4.50,-0.01,-0.01,0.02,D
187,245,3,1,18,3.28,7.53,-4.48,0.02,0.07,0.01,D
189,245,2,4,19,3.28,7.52,-4.54,-0.03,-0.04,0.01,D
189,245,2,2,20,3.33,7.58,-4.56,-0.02,0.01,-0.00,D
188,245,2,3,18,3.38,7.57,-4.44,-0.00,-0.01,0.02,D
180,245,1,2,19,3.34,7.49,-4.59,-0.03,-0.03,-0.00,D
173,246,2,4,19,3.31,7.57,-4.58,-0.08,0.02,-0.01,D
165,246,2,4,19,3.55,7.46,-4.47,0.08,0.12,0.05,D
162,244,2,2,19,3.42,7.49,-4.64,-0.03,0.09,-0.05,D
159,244,2,2,19,3.35,7.52,-4.37,-0.06,-0.15,-0.01,D
160,245,3,3,19,3.55,7.47,-4.53,0.01,-0.03,0.02,D
